Id,Date,Open,High,Low,Close,Volume,Market Cap
493,"May 07, 2020",9261.9,9992.66,9138.32,9951.52,61112700562,182787376637
492,"May 06, 2020",9007.44,9411.47,8966.71,9268.76,49371886931,170229620935
491,"May 05, 2020",8912.83,9062.41,8856.83,9003.07,43148462663,165332488792
490,"May 04, 2020",8895.74,8956.91,8645.02,8912.65,45718796276,163654493632
489,"May 03, 2020",8983.61,9167.78,8830.97,8897.47,47101785174,163358189151
488,"May 02, 2020",8869.06,9007.19,8811.37,8988.6,40134388683,165012307600
487,"May 01, 2020",8672.78,9048.02,8667.76,8864.77,44068389997,162722652380
486,"Apr 30, 2020",8797.67,9440.65,8533.26,8658.55,66964629541,158922133909
485,"Apr 29, 2020",7806.71,8871.75,7786.05,8801.04,60201052203,161522471385
484,"Apr 28, 2020",7796.97,7814.53,7730.81,7807.06,33187959921,143266252261
483,"Apr 27, 2020",7679.42,7795.6,7679.42,7795.6,36162144725,143040988590
482,"Apr 26, 2020",7570.14,7700.59,7561.41,7679.87,33070154491,140903867573
481,"Apr 25, 2020",7550.48,7641.36,7521.67,7569.94,32941541447,138874072264
480,"Apr 24, 2020",7434.18,7574.2,7434.18,7550.9,34636526286,138512029491
479,"Apr 23, 2020",7121.31,7491.78,7081.59,7429.72,43500782316,136275638031
478,"Apr 22, 2020",6879.44,7145.87,6867.78,7117.21,33249153866,130530916077
477,"Apr 21, 2020",6879.78,6934.55,6834.44,6880.32,32589741511,126175238603
476,"Apr 20, 2020",7186.87,7240.29,6835.5,6881.96,37747113936,126192239912
475,"Apr 19, 2020",7260.92,7280.52,7167.05,7189.42,31311210215,131815853850
474,"Apr 18, 2020",7092.29,7269.96,7089.25,7257.66,32447188386,133053136876
473,"Apr 17, 2020",7116.55,7167.18,7050.33,7096.18,32513423567,130078472088
472,"Apr 16, 2020",6640.45,7134.45,6555.5,7116.8,46783242377,130445413270
471,"Apr 15, 2020",6845.56,6928.66,6633.4,6642.11,32288311031,121731940639
470,"Apr 14, 2020",6843.28,6958.56,6793.82,6842.43,34110434052,125388687977
469,"Apr 13, 2020",6965.62,6965.62,6668.26,6845.04,38619308647,125422221237
468,"Apr 12, 2020",6858.07,7119.95,6811.08,6971.09,35759567632,127716846208
467,"Apr 11, 2020",6867.44,6926.07,6789.92,6859.08,31222085946,125651623116
466,"Apr 10, 2020",7303.82,7303.82,6802.47,6865.49,43622840992,125755496117
465,"Apr 09, 2020",7337.97,7341.45,7179.09,7302.09,34815139178,133737857010
